IMDb ID,title,domestic boxoffice,international boxoffice,Worlwide boxoffice
tt0245712,amores perros,5408467,15500000,20908467
tt0190332,"crouching tiger, hidden dragon",128530421,85446864,213978518
tt0234288,divided we fall,1332586,713854,2046440
tt0209037,everybody famous!,81734,15619,97353
tt0216787,the taste of others,891369,130569,1021938
tt0241303,chocolat,71509363,81191263,152700626
tt0195685,erin brockovich,125595205,132256558,257851763
tt0172495,gladiator,187705427,277801273,465516248
tt0181865,traffic,124115725,83400000,207515725
tt0268397,jimmy neutron: boy genius,80936232,22056304,102992536
tt0198781,"monsters, inc.",290642256,289112013,579770299
tt0126029,shrek,268698241,220279678,488977919
tt0211915,amélie,33712444,141317403,175183052
tt0279064,elling,314729,1727461,2042190
tt0169102,lagaan,909043,815763,1724806
tt0283509,no man's land,1012153,3846716,4858869
tt0292542,son of the bride,624757,8147938,8772695
tt0268978,a beautiful mind,170742341,146048916,316791257
tt0280707,gosford park,41308615,46445429,87754044
tt0247425,in the bedroom,35930604,8832577,44763181
tt0120737,the lord of the rings: the fellowship of the ring,319372078,568468333,888483037
tt0203009,moulin rouge,57386607,127541935,184935252
tt0268380,ice age,176387405,206869731,383257136
tt0275847,lilo & stitch,145794338,127349813,273147061
tt0166813,spirit: stallion of the cimarron,73280117,49283422,122563539
tt0245429,spirited away,15205725,343418040,358898676
tt0133240,treasure planet,38176783,71864580,110041363
tt0313196,el crimen del padre amaro,5717044,21279694,26996738
tt0299977,hero,53710019,123685538,177395557
tt0311519,the man without a past,921847,8642390,9564237
tt0161860,nowhere in africa,6180200,18141980,24322180
tt0245157,zus & zo,49468,231751,281219
tt0299658,chicago,170687518,136089848,306777366
tt0217505,gangs of new york,77812000,115960504,193772504
tt0274558,the hours,41675994,67170078,108846217
tt0167261,the lord of the rings: the two towers,345518923,592392292,938532865
tt0253474,the pianist,32590750,87500000,120098945
tt0328880,brother bear,85336277,165061521,250397798
tt0266543,finding nemo,380843261,560794699,941637960
tt0286244,the triplets of belleville,7007149,7769611,14776775
tt0338135,the barbarian invasions,8544975,26338035,34883010
tt0338309,evil,15530,512715,528245
tt0351817,the twilight samurai,559765,6813004,7372769
tt0322674,twin sisters,1563,5936602,5938165
tt0288330,zelary,330033,15131272,15461305
tt0167260,the lord of the rings: the return of the king,381878219,756309109,1138585992
tt0335266,lost in translation,44585453,74101484,118688756
tt0311113,master and commander: the far side of the world,93927920,117694615,211622535
tt0327056,mystic river,90135191,66460000,156595191
tt0329575,seabiscuit,120277854,28058591,148336445
tt0317705,the incredibles,261441092,370243558,631688498
tt0307453,shark tale,160861908,213721971,374583879
tt0298148,shrek 2,444978202,487536387,932530034
tt0382330,as it is in heaven,10236,18318233,18328469
tt0372824,the chorus (les choristes),3635164,84750780,88385944
tt0363163,downfall,5509040,86672534,92181574
tt0369702,the sea inside,2104923,41626698,43731621
tt0419279,yesterday,0,246439,246439
tt0338751,the aviator,102610330,111109612,213719942
tt0308644,finding neverland,51680613,64970000,116650613
tt0405159,million dollar baby,100492203,116271443,216763646
tt0350258,ray,75331600,48639776,123971376
tt0375063,sideways,71503593,38203338,109706931
tt0347149,howl's moving castle,9173958,231607608,240971323
tt0121164,tim burton's corpse bride,53401527,63835950,117237680
