filmid,title,runtime,genre,director,actors,language,country,imdbRating,metascore,imdbVotes,Worlwide boxoffice,budget,ROI,year,winner,category
tt0245712,Amores Perros,154 min,Drama,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo",Spanish,Mexico,8.0,83,"261,019",20908467,2000000.0,9.45,2000,no,foreign language film
tt0190332,"Crouching Tiger, Hidden Dragon",120 min,Action,Ang Lee,"Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang","Mandarin, Chinese",China,7.9,94,"287,997",213978518,15000000.0,13.27,2000,yes,foreign language film
tt0190332,"Crouching Tiger, Hidden Dragon",120 min,Action,Ang Lee,"Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang","Mandarin, Chinese",China,7.9,94,"287,997",213978518,15000000.0,13.27,2000,no,best picture
tt0234288,Divided We Fall,117 min,Comedy,Jan Hrebejk,"Bolek Polívka, Csongor Kassai, Jaroslav Dusek","German, Czech",Czech Republic,7.6,69,"5,448",2046440,0.0,inf,2000,no,foreign language film
tt0209037,Everybody's Famous!,97 min,Comedy,Dominique Deruddere,"Josse De Pauw, Eva van der Gucht, Werner De Smedt","Dutch, English, Spanish",Belgium,6.9,60,"3,326",97353,0.0,inf,2000,no,foreign language film
tt0216787,The Taste of Others,112 min,Comedy,Agnès Jaoui,"Anne Alvaro, Jean-Pierre Bacri, Alain Chabat","French, English",France,7.2,78,"10,594",1021938,0.0,inf,2000,no,foreign language film
tt0241303,Chocolat,121 min,Drama,Lasse Hallström,"Juliette Binoche, Johnny Depp, Judi Dench","English, French",United Kingdom,7.2,64,"206,593",152700626,25000000.0,5.11,2000,no,best picture
tt0195685,Erin Brockovich,131 min,Biography,Steven Soderbergh,"Julia Roberts, Albert Finney, David Brisbin",English,United States,7.4,73,"232,375",257851763,50000000.0,4.16,2000,no,best picture
tt0172495,Gladiator,155 min,Action,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",English,United States,8.5,67,"1,728,425",465516248,103000000.0,3.52,2000,yes,best picture
tt0181865,Traffic,147 min,Crime,Steven Soderbergh,"Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones","English, Spanish",Germany,7.6,86,"223,374",207515725,48000000.0,3.32,2000,no,best picture
tt0268397,Jimmy Neutron: Boy Genius,82 min,Animation,John A. Davis,"Debi Derryberry, Rob Paulsen, Megan Cavanagh",English,United States,6.1,65,"39,233",102992536,25000000.0,3.12,2001,no,animated feature film
tt0198781,"Monsters, Inc.",92 min,Animation,"Pete Docter, David Silverman, Lee Unkrich","Billy Crystal, John Goodman, Mary Gibbs",English,United States,8.1,79,"1,026,193",579770299,115000000.0,4.04,2001,no,animated feature film
tt0126029,Shrek,90 min,Animation,"Andrew Adamson, Vicky Jenson","Mike Myers, Eddie Murphy, Cameron Diaz",English,United States,7.9,84,"763,726",488977919,50000000.0,8.78,2001,yes,animated feature film
tt0211915,Amélie,122 min,Comedy,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus","French, Russian, English",France,8.3,70,"814,883",175183052,10000000.0,16.52,2001,no,foreign language film
tt0279064,Elling,89 min,Comedy,Petter Næss,"Per Christian Ellefsen, Sven Nordin, Marit Pia Jacobsen",Norwegian,Norway,7.5,70,"16,012",2042190,2100000.0,-0.03,2001,no,foreign language film
tt0169102,Lagaan: Once Upon a Time in India,224 min,Drama,Ashutosh Gowariker,"Aamir Khan, Raghubir Yadav, Gracy Singh","Hindi, English",India,8.1,84,"122,152",1724806,9000000.0,-0.81,2001,no,foreign language film
tt0283509,No Man's Land,98 min,Comedy,Danis Tanovic,"Branko Djuric, Rene Bitorajac, Filip Sovagovic","Bosnian, French, English, Serbian",France,7.9,84,"49,335",4858869,1000000.0,3.86,2001,yes,foreign language film
tt0292542,Son of the Bride,123 min,Comedy,Juan José Campanella,"Ricardo Darín, Héctor Alterio, Norma Aleandro",Spanish,Argentina,7.8,68,"16,702",8772695,0.0,inf,2001,no,foreign language film
tt0268978,A Beautiful Mind,135 min,Biography,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly",English,United States,8.2,72,"1,019,484",316791257,78000000.0,3.06,2001,yes,best picture
tt0280707,Gosford Park,137 min,Comedy,Robert Altman,"Maggie Smith, Ryan Phillippe, Michael Gambon","English, Latin",United Kingdom,7.2,90,"96,190",87754044,18000000.0,3.88,2001,no,best picture
tt0247425,In the Bedroom,131 min,Crime,Todd Field,"Tom Wilkinson, Sissy Spacek, Nick Stahl","English, Serbo-Croatian",United States,7.4,86,"42,925",44763181,1700000.0,25.33,2001,no,best picture
tt0120737,The Lord of the Rings: The Fellowship of the Ring,178 min,Adventure,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom","English, Sindarin",New Zealand,8.9,92,"2,104,541",888483037,93000000.0,8.55,2001,no,best picture
tt0203009,Moulin Rouge!,127 min,Drama,Baz Luhrmann,"Nicole Kidman, Ewan McGregor, John Leguizamo","English, French, Spanish",Australia,7.6,66,"304,330",184935252,53000000.0,2.49,2001,no,best picture
tt0268380,Ice Age,81 min,Animation,"Chris Wedge, Carlos Saldanha","Denis Leary, John Leguizamo, Ray Romano",English,United States,7.5,61,"541,606",383257136,65000000.0,4.9,2002,no,animated feature film
tt0275847,Lilo & Stitch,85 min,Animation,"Dean DeBlois, Chris Sanders","Daveigh Chase, Chris Sanders, Tia Carrere","English, Hawaiian",United States,7.3,74,"224,747",273147061,80000000.0,2.41,2002,no,animated feature film
tt0166813,Spirit: Stallion of the Cimarron,83 min,Animation,"Kelly Asbury, Lorna Cook","Matt Damon, James Cromwell, Daniel Studi",English,United States,7.2,52,"89,645",122563539,80000000.0,0.53,2002,no,animated feature film
tt0245429,Spirited Away,124 min,Animation,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino","Japanese, English",Japan,8.6,96,"905,425",358898676,19200000.0,17.69,2002,yes,animated feature film
tt0133240,Treasure Planet,95 min,Animation,"Ron Clements, John Musker","Joseph Gordon-Levitt, Emma Thompson, Martin Short",English,United States,7.2,60,"139,829",110041363,100000000.0,0.1,2002,no,animated feature film
tt0313196,The Crime of Padre Amaro,118 min,Drama,Carlos Carrera,"Gael García Bernal, Ana Claudia Talancón, Sancho Gracia",Spanish,Mexico,6.7,60,"14,550",26996738,3000000.0,8.0,2002,no,foreign language film
tt0299977,Hero,107 min,Action,Yimou Zhang,"Jet Li, Tony Leung Chiu-wai, Maggie Cheung",Mandarin,Hong Kong,7.9,85,"190,575",177395557,42000000.0,3.22,2002,no,foreign language film
tt0311519,The Man Without a Past,97 min,Comedy,Aki Kaurismäki,"Markku Peltola, Kati Outinen, Annikki Tähti",Finnish,Finland,7.6,84,"26,845",9564237,0.0,inf,2002,no,foreign language film
tt0161860,Nowhere in Africa,141 min,Biography,Caroline Link,"Juliane Köhler, Merab Ninidze, Matthias Habich","German, Swahili, English",Germany,7.5,72,"14,370",24322180,6500000.0,2.74,2002,yes,foreign language film
tt0245157,Zus & Zo,106 min,Comedy,Paula van der Oest,"Sylvia Poorta, Anneke Blok, Monic Hendrickx","Dutch, English, French, Portuguese",Netherlands,6.1,50,"1,699",281219,0.0,inf,2002,no,foreign language film
tt0299658,Chicago,113 min,Comedy,Rob Marshall,"Renée Zellweger, Catherine Zeta-Jones, Richard Gere","English, Hungarian",United States,7.2,81,"247,886",306777366,30000000.0,9.23,2002,yes,best picture
tt0217505,Gangs of New York,167 min,Crime,Martin Scorsese,"Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis","English, Irish Gaelic, Chinese, Latin",United States,7.5,72,"487,381",193772504,97000000.0,1.0,2002,no,best picture
tt0274558,The Hours,110 min,Drama,Stephen Daldry,"Meryl Streep, Nicole Kidman, Julianne Moore",English,United States,7.5,80,"143,548",108846217,25000000.0,3.35,2002,no,best picture
tt0167261,The Lord of the Rings: The Two Towers,179 min,Adventure,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen","English, Sindarin, Old English",New Zealand,8.8,87,"1,871,784",938532865,94000000.0,8.98,2002,no,best picture
tt0253474,The Pianist,150 min,Biography,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay","English, German, Russian",France,8.5,85,"964,581",120098945,35000000.0,2.43,2002,no,best picture
tt0328880,Brother Bear,85 min,Animation,"Aaron Blaise, Robert Walker","Joaquin Phoenix, Jeremy Suarez, Rick Moranis","English, Inuktitut, Croatian, Serbian",United States,6.9,48,"128,243",250397798,46000000.0,4.44,2003,no,animated feature film
tt0266543,Finding Nemo,100 min,Animation,"Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould","English, Japanese, Russian",United States,8.2,90,"1,157,141",941637960,94000000.0,9.02,2003,yes,animated feature film
tt0286244,The Triplets of Belleville,80 min,Animation,Sylvain Chomet,"Michèle Caucheteux, Jean-Claude Donda, Michel Robin","French, Portuguese",France,7.7,91,"57,843",14776775,10000000.0,0.48,2003,no,animated feature film
tt0338135,The Barbarian Invasions,99 min,Comedy,Denys Arcand,"Rémy Girard, Dorothée Berryman, Stéphane Rousseau","French, English",Canada,7.5,70,"30,322",34883010,4500000.0,6.75,2003,yes,foreign language film
tt0338309,Evil,113 min,Drama,Mikael Håfström,"Andreas Wilson, Henrik Lundström, Gustaf Skarsgård","Swedish, Finnish",Sweden,7.7,61,"42,845",528245,0.0,inf,2003,no,foreign language film
tt0351817,The Twilight Samurai,129 min,Drama,Yôji Yamada,"Hiroyuki Sanada, Rie Miyazawa, Nenji Kobayashi",Japanese,Japan,8.1,82,"26,098",7372769,0.0,inf,2003,no,foreign language film
tt0322674,Twin Sisters,137 min,Drama,Ben Sombogaart,"Ellen Vogel, Gudrun Okras, Thekla Reuten","Dutch, German, English, French",Netherlands,7.4,N/A,"7,365",5938165,0.0,inf,2003,no,foreign language film
tt0288330,Zelary,150 min,Drama,Ondrej Trojan,"Anna Geislerová, György Cserhalmi, Ivan Trojan","Czech, Russian, German",Czech Republic,7.5,66,"3,788",15461305,0.0,inf,2003,no,foreign language film
tt0167260,The Lord of the Rings: The Return of the King,201 min,Adventure,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen","English, Quenya, Old English, Sindarin",New Zealand,9.0,94,"2,074,794",1138585992,94000000.0,11.11,2003,yes,best picture
tt0335266,Lost in Translation,102 min,Comedy,Sofia Coppola,"Bill Murray, Scarlett Johansson, Giovanni Ribisi","English, Japanese, German, French",United States,7.7,91,"507,784",118688756,4000000.0,28.67,2003,no,best picture
tt0311113,Master and Commander: The Far Side of the World,138 min,Action,Peter Weir,"Russell Crowe, Paul Bettany, Billy Boyd","English, French, Portuguese",United States,7.5,81,"246,026",211622535,135000000.0,0.57,2003,no,best picture
tt0327056,Mystic River,138 min,Crime,Clint Eastwood,"Sean Penn, Tim Robbins, Kevin Bacon",English,United States,7.9,84,"499,313",156595191,30000000.0,4.22,2003,no,best picture
tt0329575,Seabiscuit,140 min,Drama,Gary Ross,"Tobey Maguire, Jeff Bridges, Elizabeth Banks",English,United States,7.3,72,"77,696",148336445,86000000.0,0.72,2003,no,best picture
tt0317705,The Incredibles,115 min,Animation,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter","English, French, German, Italian, Portuguese, Russian",United States,8.0,90,"851,626",631688498,92000000.0,5.87,2004,yes,animated feature film
tt0307453,Shark Tale,90 min,Animation,"Bibo Bergeron, Vicky Jenson, Rob Letterman","Will Smith, Robert De Niro, Renée Zellweger",English,United States,6.0,48,"205,957",374583879,75000000.0,3.99,2004,no,animated feature film
tt0298148,Shrek 2,93 min,Animation,"Andrew Adamson, Kelly Asbury, Conrad Vernon","Mike Myers, Eddie Murphy, Cameron Diaz",English,United States,7.4,75,"530,600",932530034,70000000.0,12.32,2004,no,animated feature film
