filmid,title,budget
tt0245712,amores perros,2000000.0
tt0190332,"crouching tiger, hidden dragon",15000000.0
tt0234288,divided we fall,0.0
tt0209037,everybody's famous!,0.0
tt0216787,the taste of others,0.0
tt0241303,chocolat,25000000.0
tt0195685,erin brockovich,50000000.0
tt0172495,gladiator,103000000.0
tt0181865,traffic,48000000.0
tt0268397,jimmy neutron: boy genius,25000000.0
tt0198781,"monsters, inc.",115000000.0
tt0126029,shrek,50000000.0
tt0211915,amélie,10000000.0
tt0279064,elling,2100000.0
tt0169102,lagaan: once upon a time in india,9000000.0
tt0283509,no man's land,1000000.0
tt0292542,son of the bride,0.0
tt0268978,a beautiful mind,78000000.0
tt0280707,gosford park,18000000.0
tt0247425,in the bedroom,1700000.0
tt0120737,the lord of the rings: the fellowship of the ring,93000000.0
tt0203009,moulin rouge!,53000000.0
tt0268380,ice age,65000000.0
tt0275847,lilo & stitch,80000000.0
tt0166813,spirit: stallion of the cimarron,80000000.0
tt0245429,spirited away,19200000.0
tt0133240,treasure planet,100000000.0
tt0313196,the crime of padre amaro,3000000.0
tt0299977,hero,42000000.0
tt0311519,the man without a past,0.0
tt0161860,nowhere in africa,6500000.0
tt0245157,zus & zo,0.0
tt0299658,chicago,30000000.0
tt0217505,gangs of new york,97000000.0
tt0274558,the hours,25000000.0
tt0167261,the lord of the rings: the two towers,94000000.0
tt0253474,the pianist,35000000.0
tt0328880,brother bear,46000000.0
tt0266543,finding nemo,94000000.0
tt0286244,the triplets of belleville,10000000.0
tt0338135,the barbarian invasions,4500000.0
tt0338309,evil,0.0
tt0351817,the twilight samurai,0.0
tt0322674,twin sisters,0.0
tt0288330,zelary,0.0
tt0167260,the lord of the rings: the return of the king,94000000.0
tt0335266,lost in translation,4000000.0
tt0311113,master and commander: the far side of the world,135000000.0
tt0327056,mystic river,30000000.0
tt0329575,seabiscuit,86000000.0
tt0317705,the incredibles,92000000.0
tt0307453,shark tale,75000000.0
tt0298148,shrek 2,70000000.0
tt0382330,as it is in heaven,450000.0
