IMDb ID,title,international boxoffice
tt0245712,amores perros,"$15,500,000"
tt0190332,"crouching tiger, hidden dragon","$85,446,864"
tt0234288,divided we fall,"$713,854"
tt0209037,everybody famous!,"$15,619"
tt0216787,the taste of others,"$130,569"
tt0241303,chocolat,"$81,191,263"
tt0195685,erin brockovich,"$132,256,558"
tt0172495,gladiator,"$277,801,273"
tt0181865,traffic,"$83,400,000"
tt0268397,jimmy neutron: boy genius,"$22,056,304"
tt0198781,"monsters, inc.","$289,112,013"
tt0126029,shrek,"$220,279,678"
tt0211915,amélie,"$141,317,403"
tt0279064,elling,"$1,727,461"
tt0169102,lagaan,"$815,763"
tt0283509,no man's land,"$3,846,716"
tt0292542,son of the bride,"$8,147,938"
tt0268978,a beautiful mind,"$146,048,916"
tt0280707,gosford park,"$46,445,429"
tt0247425,in the bedroom,"$8,832,577"
tt0120737,the lord of the rings: the fellowship of the ring,"$568,468,333"
tt0203009,moulin rouge,"$127,541,935"
tt0268380,ice age,"$206,869,731"
tt0275847,lilo & stitch,"$127,349,813"
tt0166813,spirit: stallion of the cimarron,"$49,283,422"
tt0245429,spirited away,"$343,419,029"
tt0133240,treasure planet,"$71,864,580"
tt0313196,el crimen del padre amaro,"$21,279,694"
tt0299977,hero,"$123,685,538"
tt0311519,the man without a past,"$8,642,390"
tt0161860,nowhere in africa,"$18,141,980"
tt0245157,zus & zo,"$231,751"
tt0299658,chicago,"$136,089,848"
tt0217505,gangs of new york,"$115,960,504"
tt0274558,the hours,"$67,170,078"
tt0167261,the lord of the rings: the two towers,"$592,392,292"
tt0253474,the pianist,"$87,500,000"
tt0328880,brother bear,"$165,061,521"
tt0266543,finding nemo,"$560,794,699"
tt0286244,the triplets of belleville,"$7,769,611"
tt0338135,the barbarian invasions,"$26,338,035"
tt0338309,evil,"$512,715"
tt0351817,the twilight samurai,"$6,813,004"
tt0322674,twin sisters,"$5,936,602"
tt0288330,zelary,"$15,131,272"
tt0167260,the lord of the rings: the return of the king,"$756,309,109"
tt0335266,lost in translation,"$74,101,484"
tt0311113,master and commander: the far side of the world,"$117,694,615"
tt0327056,mystic river,"$66,460,000"
tt0329575,seabiscuit,"$28,058,591"
tt0317705,the incredibles,"$370,243,558"
tt0307453,shark tale,"$213,721,971"
tt0298148,shrek 2,"$487,536,387"
tt0382330,as it is in heaven,"$18,318,233"
tt0372824,the chorus (les choristes),"$84,750,780"
tt0363163,downfall,"$86,672,534"
tt0369702,the sea inside,"$41,626,698"
tt0419279,yesterday,"$246,439"
