IMDb ID,title,domestic boxoffice
tt0245712,amores perros,"$5,408,467"
tt0190332,"crouching tiger, hidden dragon","$128,530,421"
tt0234288,divided we fall,"$1,332,586"
tt0209037,everybody famous!,"$81,734"
tt0216787,the taste of others,"$891,369"
tt0241303,chocolat,"$71,509,363"
tt0195685,erin brockovich,"$125,595,205"
tt0172495,gladiator,"$187,705,427"
tt0181865,traffic,"$124,115,725"
tt0268397,jimmy neutron: boy genius,"$80,936,232"
tt0198781,"monsters, inc.","$290,642,256"
tt0126029,shrek,"$268,698,241"
tt0211915,amélie,"$33,712,444"
tt0279064,elling,"$314,729"
tt0169102,lagaan,"$909,043"
tt0283509,no man's land,"$1,012,153"
tt0292542,son of the bride,"$624,757"
tt0268978,a beautiful mind,"$170,742,341"
tt0280707,gosford park,"$41,308,615"
tt0247425,in the bedroom,"$35,930,604"
tt0120737,the lord of the rings: the fellowship of the ring,"$319,372,078"
tt0203009,moulin rouge,"$57,386,607"
tt0268380,ice age,"$176,387,405"
tt0275847,lilo & stitch,"$145,794,338"
tt0166813,spirit: stallion of the cimarron,"$73,280,117"
tt0245429,spirited away,"$15,205,725"
tt0133240,treasure planet,"$38,176,783"
tt0313196,el crimen del padre amaro,"$5,717,044"
tt0299977,hero,"$53,710,019"
tt0311519,the man without a past,"$921,847"
tt0161860,nowhere in africa,"$6,180,200"
tt0245157,zus & zo,"$49,468"
tt0299658,chicago,"$170,687,518"
tt0217505,gangs of new york,"$77,812,000"
tt0274558,the hours,"$41,675,994"
tt0167261,the lord of the rings: the two towers,"$345,518,923"
tt0253474,the pianist,"$32,590,750"
tt0328880,brother bear,"$85,336,277"
tt0266543,finding nemo,"$380,843,261"
tt0286244,the triplets of belleville,"$7,007,149"
tt0338135,the barbarian invasions,"$8,544,975"
tt0338309,evil,"$15,530"
tt0351817,the twilight samurai,"$559,765"
tt0322674,twin sisters,"$1,563"
tt0288330,zelary,"$330,033"
tt0167260,the lord of the rings: the return of the king,"$381,878,219"
tt0335266,lost in translation,"$44,585,453"
tt0311113,master and commander: the far side of the world,"$93,927,920"
