IMDb ID,title,domestic boxoffice,international boxoffice,Worlwide boxoffice,budget,ROI
tt0245712,amores perros,5408467,15500000,20908467,2000000.0,9.45
tt0190332,"crouching tiger, hidden dragon",128530421,85446864,213978518,15000000.0,13.27
tt0234288,divided we fall,1332586,713854,2046440,0.0,inf
tt0209037,everybody famous!,81734,15619,97353,0.0,inf
tt0216787,the taste of others,891369,130569,1021938,0.0,inf
tt0241303,chocolat,71509363,81191263,152700626,25000000.0,5.11
tt0195685,erin brockovich,125595205,132256558,257851763,50000000.0,4.16
tt0172495,gladiator,187705427,277801273,465516248,103000000.0,3.52
tt0181865,traffic,124115725,83400000,207515725,48000000.0,3.32
tt0268397,jimmy neutron: boy genius,80936232,22056304,102992536,25000000.0,3.12
tt0198781,"monsters, inc.",290642256,289112013,579770299,115000000.0,4.04
tt0126029,shrek,268698241,220279678,488977919,50000000.0,8.78
tt0211915,amélie,33712444,141317403,175183052,10000000.0,16.52
tt0279064,elling,314729,1727461,2042190,2100000.0,-0.03
tt0169102,lagaan,909043,815763,1724806,9000000.0,-0.81
tt0283509,no man's land,1012153,3846716,4858869,1000000.0,3.86
tt0292542,son of the bride,624757,8147938,8772695,0.0,inf
tt0268978,a beautiful mind,170742341,146048916,316791257,78000000.0,3.06
tt0280707,gosford park,41308615,46445429,87754044,18000000.0,3.88
tt0247425,in the bedroom,35930604,8832577,44763181,1700000.0,25.33
tt0120737,the lord of the rings: the fellowship of the ring,319372078,568468333,888483037,93000000.0,8.55
tt0203009,moulin rouge,57386607,127541935,184935252,53000000.0,2.49
tt0268380,ice age,176387405,206869731,383257136,65000000.0,4.9
tt0275847,lilo & stitch,145794338,127349813,273147061,80000000.0,2.41
tt0166813,spirit: stallion of the cimarron,73280117,49283422,122563539,80000000.0,0.53
tt0245429,spirited away,15205725,343418040,358898676,19200000.0,17.69
tt0133240,treasure planet,38176783,71864580,110041363,100000000.0,0.1
tt0313196,el crimen del padre amaro,5717044,21279694,26996738,3000000.0,8.0
tt0299977,hero,53710019,123685538,177395557,42000000.0,3.22
tt0311519,the man without a past,921847,8642390,9564237,0.0,inf
tt0161860,nowhere in africa,6180200,18141980,24322180,6500000.0,2.74
tt0245157,zus & zo,49468,231751,281219,0.0,inf
tt0299658,chicago,170687518,136089848,306777366,30000000.0,9.23
tt0217505,gangs of new york,77812000,115960504,193772504,97000000.0,1.0
tt0274558,the hours,41675994,67170078,108846217,25000000.0,3.35
tt0167261,the lord of the rings: the two towers,345518923,592392292,938532865,94000000.0,8.98
tt0253474,the pianist,32590750,87500000,120098945,35000000.0,2.43
tt0328880,brother bear,85336277,165061521,250397798,46000000.0,4.44
tt0266543,finding nemo,380843261,560794699,941637960,94000000.0,9.02
tt0286244,the triplets of belleville,7007149,7769611,14776775,10000000.0,0.48
tt0338135,the barbarian invasions,8544975,26338035,34883010,4500000.0,6.75
tt0338309,evil,15530,512715,528245,0.0,inf
tt0351817,the twilight samurai,559765,6813004,7372769,0.0,inf
tt0322674,twin sisters,1563,5936602,5938165,0.0,inf
tt0288330,zelary,330033,15131272,15461305,0.0,inf
tt0167260,the lord of the rings: the return of the king,381878219,756309109,1138585992,94000000.0,11.11
tt0335266,lost in translation,44585453,74101484,118688756,4000000.0,28.67
tt0311113,master and commander: the far side of the world,93927920,117694615,211622535,135000000.0,0.57
tt0327056,mystic river,90135191,66460000,156595191,30000000.0,4.22
tt0329575,seabiscuit,120277854,28058591,148336445,86000000.0,0.72
tt0317705,the incredibles,261441092,370243558,631688498,92000000.0,5.87
tt0307453,shark tale,160861908,213721971,374583879,75000000.0,3.99
tt0298148,shrek 2,444978202,487536387,932530034,70000000.0,12.32
tt0382330,as it is in heaven,10236,18318233,18328469,450000.0,39.73
tt0372824,the chorus (les choristes),3635164,84750780,88385944,13000000.0,5.8
tt0363163,downfall,5509040,86672534,92181574,13500000.0,5.83
tt0369702,the sea inside,2104923,41626698,43731621,11500000.0,2.8
tt0419279,yesterday,0,246439,246439,26000000.0,-0.99
tt0338751,the aviator,102610330,111109612,213719942,190000000.0,0.12
tt0308644,finding neverland,51680613,64970000,116650613,25000000.0,3.67
tt0405159,million dollar baby,100492203,116271443,216763646,30000000.0,6.23
tt0350258,ray,75331600,48639776,123971376,40000000.0,2.1
tt0375063,sideways,71503593,38203338,109706931,17000000.0,5.45
tt0347149,howl's moving castle,9173958,231607608,240971323,19000000.0,11.68
tt0121164,tim burton's corpse bride,53401527,63835950,117237680,40000000.0,1.93
tt0312004,wallace & gromit in the curse of the were-rabbit,56110897,136665219,192776116,30000000.0,5.43
