IMDb ID,title,budget
tt0245712,Amores Perros,2000000.0
tt0190332,"Crouching Tiger, Hidden Dragon",15000000.0
tt0234288,Divided We Fall,0.0
tt0209037,Everybody's Famous!,0.0
tt0216787,The Taste of Others,0.0
tt0241303,Chocolat,25000000.0
tt0195685,Erin Brockovich,50000000.0
tt0172495,Gladiator,103000000.0
tt0181865,Traffic,48000000.0
tt0268397,Jimmy Neutron: Boy Genius,25000000.0
tt0198781,"Monsters, Inc.",115000000.0
tt0126029,Shrek,50000000.0
tt0211915,Amélie,10000000.0
tt0279064,Elling,2100000.0
tt0169102,Lagaan: Once Upon a Time in India,9000000.0
tt0283509,No Man's Land,1000000.0
tt0292542,Son of the Bride,0.0
tt0268978,A Beautiful Mind,78000000.0
tt0280707,Gosford Park,18000000.0
tt0247425,In the Bedroom,1700000.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,93000000.0
tt0203009,Moulin Rouge!,53000000.0
tt0268380,Ice Age,65000000.0
tt0275847,Lilo & Stitch,80000000.0
tt0166813,Spirit: Stallion of the Cimarron,80000000.0
tt0245429,Spirited Away,19200000.0
tt0133240,Treasure Planet,100000000.0
tt0313196,The Crime of Padre Amaro,3000000.0
tt0299977,Hero,42000000.0
tt0311519,The Man Without a Past,0.0
tt0161860,Nowhere in Africa,6500000.0
tt0245157,Zus & Zo,0.0
tt0299658,Chicago,30000000.0
tt0217505,Gangs of New York,97000000.0
tt0274558,The Hours,25000000.0
tt0167261,The Lord of the Rings: The Two Towers,94000000.0
tt0253474,The Pianist,35000000.0
tt0328880,Brother Bear,46000000.0
tt0266543,Finding Nemo,94000000.0
tt0286244,The Triplets of Belleville,10000000.0
tt0338135,The Barbarian Invasions,4500000.0
tt0338309,Evil,0.0
tt0351817,The Twilight Samurai,0.0
tt0322674,Twin Sisters,0.0
tt0288330,Zelary,0.0
tt0167260,The Lord of the Rings: The Return of the King,94000000.0
tt0335266,Lost in Translation,4000000.0
tt0311113,Master and Commander: The Far Side of the World,135000000.0
tt0327056,Mystic River,30000000.0
