IMDb ID,title,Worlwide boxoffice
tt0245712,amores perros,"$20,908,467"
tt0190332,"crouching tiger, hidden dragon","$213,978,518"
tt0234288,divided we fall,"$2,046,440"
tt0209037,everybody famous!,"$97,353"
tt0216787,the taste of others,"$1,021,938"
tt0241303,chocolat,"$152,700,626"
tt0195685,erin brockovich,"$257,851,763"
tt0172495,gladiator,"$465,516,248"
tt0181865,traffic,"$207,515,725"
tt0268397,jimmy neutron: boy genius,"$102,992,536"
tt0198781,"monsters, inc.","$579,770,299"
tt0126029,shrek,"$488,977,919"
tt0211915,amélie,"$175,183,052"
tt0279064,elling,"$2,042,190"
tt0169102,lagaan,"$1,724,806"
tt0283509,no man's land,"$4,858,869"
tt0292542,son of the bride,"$8,772,695"
tt0268978,a beautiful mind,"$316,791,257"
tt0280707,gosford park,"$87,754,044"
tt0247425,in the bedroom,"$44,763,181"
tt0120737,the lord of the rings: the fellowship of the ring,"$888,483,037"
tt0203009,moulin rouge,"$184,935,252"
tt0268380,ice age,"$383,257,136"
tt0275847,lilo & stitch,"$273,147,061"
tt0166813,spirit: stallion of the cimarron,"$122,563,539"
tt0245429,spirited away,"$358,898,676"
tt0133240,treasure planet,"$110,041,363"
tt0313196,el crimen del padre amaro,"$26,996,738"
tt0299977,hero,"$177,395,557"
tt0311519,the man without a past,"$9,564,237"
tt0161860,nowhere in africa,"$24,322,180"
tt0245157,zus & zo,"$281,219"
tt0299658,chicago,"$306,777,366"
tt0217505,gangs of new york,"$193,772,504"
tt0274558,the hours,"$108,846,217"
tt0167261,the lord of the rings: the two towers,"$938,532,865"
tt0253474,the pianist,"$120,098,945"
tt0328880,brother bear,"$250,397,798"
tt0266543,finding nemo,"$941,637,960"
tt0286244,the triplets of belleville,"$14,776,775"
tt0338135,the barbarian invasions,"$34,883,010"
tt0338309,evil,"$528,245"
tt0351817,the twilight samurai,"$7,372,769"
tt0322674,twin sisters,"$5,938,165"
tt0288330,zelary,"$15,461,305"
tt0167260,the lord of the rings: the return of the king,"$1,138,585,992"
tt0335266,lost in translation,"$118,688,756"
tt0311113,master and commander: the far side of the world,"$211,622,535"
tt0327056,mystic river,"$156,595,191"
tt0329575,seabiscuit,"$148,336,445"
tt0317705,the incredibles,"$631,688,498"
tt0307453,shark tale,"$374,583,879"
tt0298148,shrek 2,"$932,530,034"
tt0382330,as it is in heaven,"$18,328,469"
tt0372824,the chorus (les choristes),"$88,385,944"
tt0363163,downfall,"$92,181,574"
tt0369702,the sea inside,"$43,731,621"
tt0419279,yesterday,"$246,439"
tt0338751,the aviator,"$213,719,942"
tt0308644,finding neverland,"$116,650,613"
tt0405159,million dollar baby,"$216,763,646"
tt0350258,ray,"$123,971,376"
tt0375063,sideways,"$109,706,931"
tt0347149,howl's moving castle,"$240,971,323"
tt0121164,tim burton's corpse bride,"$117,237,680"
tt0312004,wallace & gromit in the curse of the were-rabbit,"$192,776,116"
tt0443446,don't tell,"$5,923,415"
tt0424205,joyeux noël,"$17,709,155"
tt0445620,paradise now,"$3,579,902"
tt0426578,sophie scholl - the final days,"$10,804,315"
tt0468565,tsotsi,"$9,891,303"
tt0388795,brokeback mountain,"$178,064,141"
tt0379725,capote,"$49,327,405"
tt0375679,crash,"$98,410,061"
tt0433383,"good night, and good luck.","$54,641,191"
tt0408306,munich,"$130,982,407"
tt0317219,cars,"$461,996,328"
tt0366548,happy feet,"$384,336,179"
tt0385880,monster house,"$141,861,243"
tt0457655,after the wedding,"$11,632,723"
tt0444182,days of glory (indigènes),"$22,963,701"
tt0405094,the lives of others,"$77,672,685"
tt0457430,pan's labyrinth,"$83,863,565"
tt0240200,water,"$13,014,956"
tt0449467,babel,"$135,330,835"
tt0407887,the departed,"$291,481,358"
tt0498380,letters from iwo jima,"$68,673,228"
tt0449059,little miss sunshine,"$101,059,571"
tt0436697,the queen,"$124,925,340"
tt0808417,persepolis,"$22,783,990"
tt0382932,ratatouille,"$623,729,380"
tt0423294,surf's up,"$152,010,962"
tt0758732,beaufort,"$271,340"
tt0813547,the counterfeiters,"$18,814,713"
tt0879843,katyn,"$14,768,451"
tt0416044,mongol,"$26,527,510"
tt0488478,12,"$7,537,453"
tt0783233,atonement,"$129,266,061"
tt0467406,juno,"$232,373,066"
tt0465538,michael clayton,"$92,991,835"
tt0477348,no country for old men,"$171,632,777"
tt0469494,there will be blood,"$76,430,381"
tt0397892,bolt,"$309,979,994"
tt0441773,kung fu panda,"$632,384,787"
tt0910970,wall-e,"$527,403,656"
tt0765432,the baader meinhof complex,"$26,937,355"
tt1068646,the class,"$29,303,505"
tt1069238,departures,"$74,236,951"
tt1173745,revanche,"$886,407"
tt1185616,waltz with bashir,"$11,179,372"
tt0421715,the curious case of benjamin button,"$335,802,786"
tt0870111,frost/nixon,"$27,426,335"
tt1013753,milk,"$54,662,930"
tt0976051,the reader,"$108,902,486"
tt1010048,slumdog millionaire,"$378,411,362"
tt0327597,coraline,"$185,860,104"
